Message Size               Bandwidth               Message Rate
    in bytes           in mbytes/sec                in msgs/sec
           1                    0.23                  226953.68
           2                    0.47                  233005.46
           4                    0.92                  229539.69
           8                    1.79                  223844.81
          16                    3.69                  230373.89
          32                    5.92                  184988.28
          64                   11.91                  186162.16
         128                   23.70                  185135.11
         256                   34.72                  135624.20
         512                   70.39                  137489.92
        1024                  136.11                  132923.49
        2048                  257.08                  125526.26
        4096                  505.79                  123484.05
        8192                 1006.80                  122900.21
       16384                 2218.47                  135404.78
       32768                 4982.57                  152055.90
       65536                 8690.64                  132608.60
      131072                14642.55                  111713.78
      262144                16325.18                   62275.62
      524288                21014.70                   40082.36
     1048576                22634.41                   21585.86
     2097152                23448.68                   11181.20
     4194304                23995.56                    5720.99
     8388608                24286.98                    2895.23
