Message Size               Bandwidth               Message Rate
    in bytes           in mbytes/sec                in msgs/sec
           1                    0.92                  923542.53
           2                    1.90                  952067.97
           4                    4.14                 1035594.21
           8                    7.77                  971471.26
          16                   14.38                  899011.63
          32                   34.72                 1084866.46
          64                   78.84                 1231820.91
         128                  143.54                 1121382.98
         256                  181.80                  710172.23
         512                  350.00                  683596.17
        1024                  686.84                  670743.33
        2048                 1249.87                  610286.62
        4096                 1610.68                  393231.90
        8192                 2934.94                  358269.07
       16384                 5157.10                  314764.33
       32768                 9165.81                  279718.43
       65536                15793.42                  240988.54
      131072                19525.31                  148966.32
      262144                23842.59                   90952.27
      524288                24370.51                   46483.07
     1048576                24505.90                   23370.65
     2097152                24558.80                   11710.55
     4194304                24591.19                    5863.00
     8388608                24596.03                    2932.08
